,Job_Title,Salary,Skills,Href
0,Data Scientist,"$96,072 ",Machine Learning,https://www.payscale.com/research/US/Job=Data_Scientist/Salary
1,Data Scientist,"$96,072 ",Python,https://www.payscale.com/research/US/Job=Data_Scientist/Salary
2,Data Scientist,"$96,072 ",Data Analysis,https://www.payscale.com/research/US/Job=Data_Scientist/Salary
3,Data Scientist,"$96,072 ",R,https://www.payscale.com/research/US/Job=Data_Scientist/Salary
4,Data Scientist,"$96,072 ",Statistical Analysis,https://www.payscale.com/research/US/Job=Data_Scientist/Salary
5,Software Engineer,"$85,189 ",Java,https://www.payscale.com/research/US/Job=Software_Engineer/Salary
6,Software Engineer,"$85,189 ",JavaScript,https://www.payscale.com/research/US/Job=Software_Engineer/Salary
7,Software Engineer,"$85,189 ",SQL,https://www.payscale.com/research/US/Job=Software_Engineer/Salary
8,Software Engineer,"$85,189 ",Python,https://www.payscale.com/research/US/Job=Software_Engineer/Salary
9,Software Engineer,"$85,189 ",C# Programming Language,https://www.payscale.com/research/US/Job=Software_Engineer/Salary
10,Data Analyst,"$60,208 ",Data Analysis,https://www.payscale.com/research/US/Job=Data_Analyst/Salary
11,Data Analyst,"$60,208 ",Microsoft Excel,https://www.payscale.com/research/US/Job=Data_Analyst/Salary
12,Data Analyst,"$60,208 ",SQL,https://www.payscale.com/research/US/Job=Data_Analyst/Salary
13,Data Analyst,"$60,208 ",Database Management & Reporting,https://www.payscale.com/research/US/Job=Data_Analyst/Salary
14,Data Analyst,"$60,208 ",Statistical Analysis,https://www.payscale.com/research/US/Job=Data_Analyst/Salary
15,Data Engineer,"$91,771 ",SQL,https://www.payscale.com/research/US/Job=Data_Engineer/Salary
16,Data Engineer,"$91,771 ",Python,https://www.payscale.com/research/US/Job=Data_Engineer/Salary
17,Data Engineer,"$91,771 ","ETL (Extract, transform, load)",https://www.payscale.com/research/US/Job=Data_Engineer/Salary
18,Data Engineer,"$91,771 ",Apache Spark,https://www.payscale.com/research/US/Job=Data_Engineer/Salary
19,Data Engineer,"$91,771 ",Data Analysis,https://www.payscale.com/research/US/Job=Data_Engineer/Salary
20,Statistician,"$73,054 ",Statistical Analysis,https://www.payscale.com/research/US/Job=Statistician/Salary
21,Statistician,"$73,054 ",Data Analysis,https://www.payscale.com/research/US/Job=Statistician/Salary
22,Statistician,"$73,054 ",SAS,https://www.payscale.com/research/US/Job=Statistician/Salary
23,Statistician,"$73,054 ",R,https://www.payscale.com/research/US/Job=Statistician/Salary
24,Statistician,"$73,054 ",Data Modeling,https://www.payscale.com/research/US/Job=Statistician/Salary
25,DBA/Database Engineer,"$73,521 ",Database Administration,https://www.payscale.com/research/US/Job=Database_Administrator_(DBA)/Salary
26,DBA/Database Engineer,"$73,521 ",Microsoft SQL Server,https://www.payscale.com/research/US/Job=Database_Administrator_(DBA)/Salary
27,DBA/Database Engineer,"$73,521 ",SQL,https://www.payscale.com/research/US/Job=Database_Administrator_(DBA)/Salary
28,DBA/Database Engineer,"$73,521 ",Data Analysis,https://www.payscale.com/research/US/Job=Database_Administrator_(DBA)/Salary
29,DBA/Database Engineer,"$73,521 ",Microsoft Office,https://www.payscale.com/research/US/Job=Database_Administrator_(DBA)/Salary
30,Research Scientist,"$79,395 ",Research Analysis,https://www.payscale.com/research/US/Job=Research_Scientist/Salary
31,Research Scientist,"$79,395 ",Data Analysis,https://www.payscale.com/research/US/Job=Research_Scientist/Salary
32,Research Scientist,"$79,395 ",Biotechnology,https://www.payscale.com/research/US/Job=Research_Scientist/Salary
33,Research Scientist,"$79,395 ",Molecular Biology,https://www.payscale.com/research/US/Job=Research_Scientist/Salary
34,Research Scientist,"$79,395 ",Product Development,https://www.payscale.com/research/US/Job=Research_Scientist/Salary
35,Product/Project Manager,"$73,901 ",Project Management,https://www.payscale.com/research/US/Job=Project_Manager%2C_(Unspecified_Type_%2F_General)/Salary
36,Product/Project Manager,"$73,901 ",Project Coordinating,https://www.payscale.com/research/US/Job=Project_Manager%2C_(Unspecified_Type_%2F_General)/Salary
37,Product/Project Manager,"$73,901 ",Client Interaction,https://www.payscale.com/research/US/Job=Project_Manager%2C_(Unspecified_Type_%2F_General)/Salary
38,Product/Project Manager,"$73,901 ",Oral / Verbal Communication,https://www.payscale.com/research/US/Job=Project_Manager%2C_(Unspecified_Type_%2F_General)/Salary
39,Product/Project Manager,"$73,901 ",Microsoft Office,https://www.payscale.com/research/US/Job=Project_Manager%2C_(Unspecified_Type_%2F_General)/Salary
40,Business Analyst,"$68,731 ",Business Analysis,https://www.payscale.com/research/US/Job=Business_Analyst%2C_IT/Salary
41,Business Analyst,"$68,731 ",Requirements Analysis,https://www.payscale.com/research/US/Job=Business_Analyst%2C_IT/Salary
42,Business Analyst,"$68,731 ",Project Management,https://www.payscale.com/research/US/Job=Business_Analyst%2C_IT/Salary
43,Business Analyst,"$68,731 ",Data Analysis,https://www.payscale.com/research/US/Job=Business_Analyst%2C_IT/Salary
44,Business Analyst,"$68,731 ",Microsoft Excel,https://www.payscale.com/research/US/Job=Business_Analyst%2C_IT/Salary
